BioID;FirstName;LastName;BirthDate;BirthCity;BirthCountry
baileja01;James;Bailey;5/21/1957;Dublin;USA
baileth01;Thurl;Bailey;4/7/1961;Washington;USA
bakerji01;Jimmie;Baker;12/25/1953;Philadelphia;USA
bakerla01;LaMark;Baker;11/11/1969;Dayton;USA
bakerma01;Maurice;Baker;7/28/1979;Granite City;USA
balkmre01;Renaldo;Balkman;7/14/1984;Staten Island;USA
ballce01;Cedric;Ball;4/16/1968;Worcester;USA
baltihe01;Herschel;Baltimore;6/21/1921;(ht) New Castle;USA
bankswa01;Walker;Banks;8/26/1947;;
barbejo01;John;Barber;6/27/1927;;
barbole01;Leandro;Barbosa;11/28/1982;Sao Paulo;BRA
bargnan01;Andrea;Bargnani;10/26/1985;Rome;ITA
barklch01;Charles;Barkley;2/20/1963;Leeds;USA
barkler01;Erick;Barkley;2/21/1978;Brooklyn;USA
barneha01;Harry;Barnes;7/25/1945;Youngstown;USA
barnema01;Marvin;Barnes;7/27/1952;Providence;USA
barnema02;Matt;Barnes;3/9/1980;Santa Clara;USA
barnhjo01;John;Barnhill;3/20/1938;Evansville;USA
barnhno01;Norton;Barnhill;7/15/1953;Winston-Salem;USA
barrean01;Andre;Barrett;2/21/1982;Bronx;USA
barreer01;Ernie;Barrett;8/27/1929;Pratt;USA
barroda01;Dana;Barros;4/13/1967;Boston;USA
barroea01;Earl;Barron;8/14/1981;Clarksdale;USA
barrybr01;Brent;Barry;12/31/1971;Hempstead;USA
barrydr01;Drew;Barry;2/17/1973;Oakland;USA
barryjo01;Jon;Barry;7/25/1969;Oakland;USA
baskeje01;Jerry;Baskerville;11/10/1951;Philadelphia;USA
bassbr01;Brandon;Bass;4/30/1985;Baton Rouge;USA
bastoma01;Maceo;Baston;5/29/1975;Corsicana;USA
bateeme01;Mengke;Bateer;11/20/1975;Inner Mongolia;CHN
battish01;Shane;Battier;9/9/1978;Birmingham;USA
battljo01;John;Battle;11/9/1962;Washington;USA
battsll01;Lloyd;Batts;5/9/1951;Chicago;USA
baxtelo01;Lonny;Baxter;7/27/1979;Silver Spring;USA
bayloel01;Elgin;Baylor;9/16/1934;Washington;USA
bayneho01;Howard;Bayne;7/28/1942;(ht) Dayton;USA
bazarse01;Sergei;Bazarevich;3/16/1965;Moscow;RUS
beardra01;Ralph;Beard;12/2/1927;Hardinsburg;USA
beaslje01;Jerome;Beasley;5/17/1980;Compton;USA
beasljo01;John;Beasley;2/5/1944;Texarkana;USA
beatyze01;Zelmo;Beaty;10/25/1939;Hillister;USA
beckco01;Corey;Beck;5/27/1971;Memphis;USA
bedfowi01;William;Bedford;12/14/1963;Memphis;USA
behnkel01;Elmer;Behnke;2/3/1929;Rockford;USA
bellch01;Charlie;Bell;3/12/1979;Flint;USA
bellde01;Dennis;Bell;6/2/1951;Cincinnati;USA
bellra01;Raja;Bell;9/19/1976;St. Croix;ISV
belltr01;Troy;Bell;11/10/1980;Minneapolis;USA
benbole01;Leon;Benbow;7/23/1950;Columbia;USA
bendejo01;Jonathan;Bender;1/30/1981;Picayune;USA
benjaco01;Corey;Benjamin;2/24/1978;Compton;USA
benneel01;Elmer;Bennett;2/13/1970;Evanston;USA
bennema01;Mario;Bennett;8/1/1973;Denton;USA
bennewi01;Winston;Bennett;2/9/1965;Louisville;USA
benoida01;David;Benoit;5/9/1968;Lafayette;USA
bensoke02;Keith;Benson;8/13/1988;Cleveland;USA
bergega01;Gary;Bergen;7/16/1932;Independence;USA
berghla01;Larry;Bergh;4/2/1945;(ht) Walla Walla;USA
berryri01;Ricky;Berry;10/6/1964;Lansing;USA
berrywa01;Walter;Berry;5/14/1964;New York;USA
besttr01;Travis;Best;7/12/1972;Springfield;USA
biedran01;Andris;Biedrins;4/2/1986;Riga;LAT
billuch01;Chauncey;Billups;9/25/1976;Denver;USA
biniojo01;Joe;Binion;3/26/1961;Rochester;USA
birdje01;Jerry;Bird;2/2/1935;Corbin;USA
birdla01;Larry;Bird;12/7/1956;West Baden;USA
birdsot01;Otis;Birdsong;12/9/1955;Winter Haven;USA
blabuw01;Uwe;Blab;3/26/1962;Munich;GER
blackco01;Cory;Blackwell;3/27/1963;Chicago;USA
blackja01;James;Blackwell;2/25/1968;Mount Kisco;USA
blackno01;Norman;Black;11/12/1957;Baltimore;USA
blackro01;Rolando;Blackman;2/26/1959;Panama City;PAN
blanege01;George;Blaney;11/12/1939;Jersey City;USA
blankla01;Lance;Blanks;9/9/1966;Del Rio;USA
blantri01;Ricky;Blanton;4/21/1966;Miami;USA
blatcan01;Andray;Blatche;8/22/1986;Syracuse;USA
bledser01;Eric;Bledsoe;12/9/1989;Birmingham;USA
blevile01;Leon;Blevins;6/25/1926;;
blockjo01;John;Block;4/16/1944;Los Angeles;USA
blounco01;Corie;Blount;1/4/1969;Monrovia;USA
blounma01;Mark;Blount;11/30/1975;Dobbs Ferry;USA
bobbito01;Tony;Bobbitt;10/22/1979;Daytona;USA
bobbne01;Nelson;Bobb;2/25/1924;Philadelphia;USA
boganke01;Keith;Bogans;5/12/1980;Washington;USA
bogutan01;Andrew;Bogut;11/28/1984;Melbourne;AUS
bohanet01;Etdrick;Bohannon;5/29/1973;San Bernardino;USA
bolma01;Manute;Bol;10/16/1962;Gogrial;SUD
bondwa01;Walter;Bond;2/1/1969;Chicago;USA
boneyde01;Dexter;Boney;4/27/1970;Wilmington;USA
bonnean01;Anthony;Bonner;6/8/1968;St. Louis;USA
bonsage01;George;Bon Salle;7/1/1935;Chicago;USA
bookeme01;Melvin;Booker;8/20/1972;Pascagoula;USA
booketr01;Trevor;Booker;11/25/1987;Newberry;USA
boothca01;Calvin;Booth;5/7/1976;Reynoldsburg;USA
boothke01;Keith;Booth;10/9/1974;Baltimore;USA
boozeca01;Carlos;Boozer;11/20/1981;Aschaffenburg;GER
borchcu01;Curtis;Borchardt;9/13/1980;Buffalo;USA
boumtru01;Ruben;Boumtje-Boumtje;5/20/1978;Edda;CMR
bowenbr01;Bruce;Bowen;6/14/1971;Merced;USA
bowenry01;Ryan;Bowen;11/20/1975;Fort Madison;USA
bowiean01;Anthony;Bowie;11/9/1963;Tulsa;USA
bowlior01;Orbie;Bowling;3/21/1939;;USA
bowmair01;Ira;Bowman;6/11/1973;Newark;USA
boydde01;Dennis;Boyd;5/21/1954;Portsmouth;USA
boydke01;Ken;Boyd;3/25/1952;Frederick;USA
boykiea01;Earl;Boykins;6/2/1976;Cleveland;USA
boykoha01;Harry;Boykoff;7/24/1922;Brooklyn;USA
boynewi01;Winford;Boynes;5/17/1957;Greenville;USA
bozemce01;Cedric;Bozeman;3/7/1983;Los Angeles;USA
brackcr01;Craig;Brackins;10/9/1987;Lancaster;USA
braddga01;Gary;Bradds;7/26/1942;Jamestown;USA
bradlal01;Alonzo;Bradley;10/16/1953;Utica;USA
bradlal02;Alex;Bradley;10/30/1959;Bradenton;USA
bradlav01;Avery;Bradley;11/26/1990;Castle AFB, Merced;USA
bradlch01;Charles;Bradley;5/16/1959;Havre De Grace;USA
bradldu01;Dudley;Bradley;3/19/1957;Baltimore;USA
bradlmi01;Michael;Bradley;4/18/1979;Worcester;USA
bradlsh01;Shawn;Bradley;3/22/1972;Landstuhl;GER
bradtma01;Mark;Bradtke;9/27/1968;Adelaide;AUS
braggma01;Marques;Bragg;3/24/1970;East Orange;USA
braggto01;Torraye;Braggs;5/15/1976;Fresno;USA
brancad01;Adrian;Branch;11/17/1963;Washington;USA
brandel01;Elton;Brand;3/11/1979;Cortland;USA
braunca01;Carl;Braun;9/25/1927;Brooklyn;USA
breweja01;Jamison;Brewer;11/19/1980;East Point;USA
brewero02;Ronnie ;Brewer;3/20/1985;Portland;USA
brezepr01;Primoz;Brezec;10/2/1979;Postojna;SLV
brianfr01;Frank;Brian;5/1/1923;Zachary;USA
briskjo01;John;Brisker;6/15/1947;Detroit;USA
bristal01;Allan;Bristow;8/23/1951;Richmond;USA
brittda01;David;Britton;8/29/1958;New York;USA
brittty01;Tyrone;Britt;4/18/1944;;
brittwa01;Wayman;Britt;8/31/1952;Wilson Mills;USA
brokaga01;Gary;Brokaw;1/11/1954;New Brunswick;USA
brookke01;Kevin;Brooks;10/12/1969;Beaufort;USA
brookma01;MarShon;Brooks;1/26/1989;Long Branch;USA
brooksc01;Scott;Brooks;7/31/1965;French Camp;USA
brownan01;Andre;Brown;5/12/1981;Chicago;USA
brownda02;Damone;Brown;6/28/1979;Buffalo;USA
brownde02;Devin;Brown;12/30/1978;Salt Lake City;USA
browner01;Ernest;Brown;5/17/1979;Bronx;USA
brownfr01;Fred;Brown;8/7/1948;Milwaukee;USA
brownge01;George;Brown;10/30/1935;New Orleans;USA
brownge02;Gerald;Brown;7/28/1975;Los Angeles;USA
brownha01;Harold;Brown;10/2/1923;;
brownjo01;John;Brown;12/14/1951;Frankfurt;GER
brownkw01;Kwame;Brown;3/10/1982;Charleston;USA
brownle01;Leon;Brown;10/12/1919;;
brownle02;Lewis;Brown;2/19/1955;Los Angeles;USA
brownma01;Marcus;Brown;4/3/1974;West Memphis;USA
brownra01;Raymond;Brown;7/5/1965;Atlanta;USA
brownra02;Randy;Brown;5/22/1968;Chicago;USA
brownri01;Rickey;Brown;8/20/1958;Madison County;USA
brownsh01;Shannon;Brown;11/29/1985;Maywood;USA
brownti01;Tierre;Brown;6/3/1979;Iowa;USA
brundst01;Stanley;Brundy;11/13/1967;New Orleans;USA
brunkbr01;Brian;Brunkhorst;6/12/1945;Owen;USA
brunsge01;George;Bruns;8/30/1946;Brooklyn;USA
brunsri01;Rick;Brunson;6/14/1972;Syracuse;USA
bryanem01;Emmette;Bryant;11/4/1938;Chicago;USA
bryanko01;Kobe;Bryant;8/23/1978;Philadelphia;USA
bryanma01;Mark;Bryant;4/25/1965;Glen Ridge;USA
bryanwa01;Wallace;Bryant;7/14/1959;Madrid;ESP
brynto01;Torgeir;Bryn;8/8/1964;Oslo;NOR
buccige01;George;Bucci;7/9/1953;Cornwall;USA
buckncl01;Cleveland;Buckner;8/17/1938;Yazoo City;USA
budkowa01;Walter;Budko;6/30/1925;Brooklyn;USA
buforro01;Rodney;Buford;11/2/1977;Milwaukee;USA
burkmro01;Roger;Burkman;5/22/1958;Indianapolis;USA
burksal01;Alec;Burks;7/20/1991;Grandview;USA
burksan01;Antonio;Burks;2/25/1980;Memphis;USA
burleke01;Kevin;Burleson;4/9/1979;Seattle;USA
burnsda01;David;Burns;7/3/1958;Dallas;USA
burnsev01;Evers;Burns;8/24/1971;Baltimore;USA
burresc01;Scott;Burrell;1/12/1971;New Haven;USA
burtowi01;Willie;Burton;5/26/1968;Detroit;USA
butleji01;Jimmy;Butler;9/14/1989;Houston;USA
butlemi02;Mitchell;Butler;12/15/1970;Los Angeles;USA
butlera01;Rasual;Butler;5/23/1979;Philadelphia;USA
byarsde01;Derrick;Byars;4/25/1984;Memphis;USA
bytzumi01;Michael;Bytzura;6/18/1922;;
cabarza01;Zarko;Cabarkapa;5/21/1981;Zrenjanin;YUG
caffeja01;Jason;Caffey;6/12/1973;Mobile;USA
cagemi01;Michael;Cage;1/28/1962;West Memphis;USA
caldwad01;Adrian;Caldwell;7/4/1966;Falls County;USA
caldwjo01;Joe;Caldwell;11/1/1941;Texas City;USA
calipde01;Demetrius;Calip;11/18/1969;Flint;USA
calvima01;Mack;Calvin;7/27/1947;Fort Worth;USA
cambrde01;Dexter;Cambridge;1/29/1970;Eleuthra;BAH
cambyma01;Marcus;Camby;3/22/1974;Hartford;USA
campbel01;Elden;Campbell;7/23/1968;Los Angeles;USA
caracde01;Derrick;Caracter;5/4/1988;Fanwood;USA
cardfr01;Frank;Card;12/28/1944;Philadelphia;USA
cardibr01;Brian;Cardinal;5/2/1977;Tolono;USA
carlige01;Geno;Carlisle;8/13/1976;Grand Rapids;USA
carlodo01;Don;Carlos;3/3/1944;Columbus;USA
carnero01;Rodney;Carney;4/15/1984;Memphis;USA
carran01;Antoine;Carr;7/23/1961;Oklahoma City;USA
carrau01;Austin;Carr;3/10/1948;Washington;USA
carrch01;Chris;Carr;3/12/1974;Ironton;USA
carrco01;Cory;Carr;12/5/1975;Fordyce;USA
carruji01;Jimmy;Carruth;11/4/1969;El Paso;USA
cartean01;Anthony;Carter;6/16/1975;Atlanta;USA
cartege01;George;Carter;1/10/1944;Buffalo;USA
carteho01;Howard;Carter;10/26/1961;Baton Rouge;USA
cartema01;Maurice;Carter;10/12/1976;Jackson;USA
cartyja01;Jay;Carty;7/4/1941;West Plains;USA
cashco01;Cornelius;Cash;3/3/1952;Macon;USA
cashsa01;Sam;Cash;11/13/1950;;
catchha01;Harvey;Catchings;9/2/1951;Jackson;USA
catlete01;Terry;Catledge;8/22/1963;Houston;USA
catoke01;Kelvin;Cato;8/26/1974;Atlanta;USA
causwdu01;Duane;Causwell;5/31/1968;Queens Village;USA
cebalce01;Cedric;Ceballos;8/2/1969;Maui;USA
celesjo01;John;Celestand;3/6/1977;Houston;USA
chalmli01;Lionel;Chalmers;11/10/1980;Albany;USA
champmi01;Mike;Champion;4/5/1964;Everett;USA
chandty01;Tyson;Chandler;10/2/1982;Hanford;USA
chanejo01;John;Chaney;2/29/1920;;
chapmre01;Rex;Chapman;10/5/1967;Bowling Green;USA
chapmwa01;Wayne;Chapman;6/15/1945;Owensboro;USA
charllo01;Lorenzo;Charles;11/25/1963;Brooklyn;USA
cheanca01;Calbert;Cheaney;7/17/1971;Evansville;USA
cheekma01;Maurice;Cheeks;9/8/1956;Chicago;USA
chievde01;Derrick;Chievous;7/3/1967;New York;USA
childch01;Chris;Childs;11/20/1967;Bakersfield;USA
childra01;Randolph;Childress;9/21/1972;Washington;USA
chrisbo01;Bob;Christian;5/11/1946;;
churcro01;Robert;Churchwell;2/20/1972;South Bend;USA
clarkar01;Archie;Clark;7/15/1941;Conway;USA
clarkca01;Carlos;Clark;8/10/1960;Somerville;USA
clawsjo01;John;Clawson;5/15/1944;Duluth;USA
claxtch01;Charles;Claxton;12/13/1970;St. Thomas;ISV
cleavma01;Mateen;Cleaves;9/7/1977;Flint;USA
clossbi01;Bill;Closs;1/8/1922;Edge;USA
closske01;Keith;Closs;4/3/1976;Hartford;USA
cloydpa01;Paul;Cloyd;6/13/1920;Madison;USA
cofferi01;Richard;Coffey;9/2/1965;Aurora;USA
cokerjo01;John;Coker;10/28/1971;Richland;USA
colemde01;Derrick;Coleman;6/21/1967;Mobile;USA
colemec01;E.C.;Coleman;9/25/1950;Flora;USA
colemja01;Jack;Coleman;5/23/1924;Burgin;USA
colemno01;Norris;Coleman;9/27/1961;Jacksonville;USA
coleno01;Norris;Cole;10/13/1988;Dayton;USA
collija01;James;Collins;11/5/1973;Jacksonville;USA
collija02;Jason;Collier;9/8/1977;Springfield;USA
collija03;Jarron;Collins;12/2/1978;Northridge;USA
collija04;Jason;Collins;12/2/1978;Northridge;USA
colsose01;Sean;Colson;7/1/1975;Philadelphia;USA
combsgl01;Glen;Combs;10/30/1946;Hazard;USA
comeajo01;John;Comeaux;9/15/1943;Lafayette;USA
comegda01;Dallas;Comegys;8/17/1964;Philadelphia;USA
conneji01;Jimmy;Conner;3/20/1953;Lawrenceburg;USA
connele01;Lester;Conner;9/17/1959;Memphis;USA
cookan01;Anthony;Cook;3/19/1967;Los Angeles;USA
cookbr01;Brian;Cook;12/4/1980;Lincoln;USA
cookda01;Darwin;Cook;8/6/1958;Los Angeles;USA
cookeda01;David;Cooke;9/27/1963;Sacramento;USA
cookom01;Omar;Cook;1/28/1982;Brooklyn;USA
coopemi01;Michael;Cooper;4/15/1956;Los Angeles;USA
copelho01;Hollis;Copeland;12/20/1955;Trenton;USA
copella01;Lanard;Copeland;7/16/1965;Atlanta;USA
corbity01;Tyrone;Corbin;12/31/1962;Columbia;USA
cottoja02;James;Cotton;12/14/1975;Los Angeles;USA
coughjo01;John;Coughran;9/12/1951;Pittsburg;USA
countme01;Mel;Counts;10/16/1941;Coos Bay;USA
couside01;DeMarcus;Cousins;8/13/1990;Mobile;USA
cousima01;Marcus;Cousin;12/18/1986;Baltimore;USA
coxjo01;Johnny;Cox;11/1/1936;Neon;USA
coxwe01;Wesley;Cox;1/27/1955;Louisville;USA
crawfjo02;Jordan;Crawford;10/23/1988;Detroit;USA
creigji01;Jim;Creighton;4/18/1950;Billings;USA
critewi01;Winston;Crite;6/20/1965;Bakersfield;USA
crosbte01;Terry;Crosby;1/4/1957;Toledo;USA
croshau01;Austin;Croshere;5/1/1975;Los Angeles;USA
crossru01;Russell;Cross;9/5/1961;Chicago;USA
crottjo01;John;Crotty;7/15/1969;Orange;USA
crowma01;Mark;Crow;10/22/1954;Edwards AFB;USA
cummivo01;Vonteego;Cummings;2/29/1976;Thomson;USA
cunnidi01;Dick;Cunningham;7/11/1946;Canton;USA
cunniwi01;William;Cunningham;3/25/1974;Augusta;USA
curcira01;Radisav;Curcic;9/26/1965;Cacak;YUG
curetea01;Earl;Cureton;9/3/1957;Detroit;USA
curryed01;Eddy;Curry;12/5/1982;South Holland;USA
cvetkra01;Rastko;Cvetkovic;6/22/1970;Belgrade;YUG
dailequ01;Quintin;Dailey;1/22/1961;Baltimore;USA
dalemsa01;Samuel;Dalembert;5/10/1981;Port-Au-Prince;HAI
dampier01;Erick;Dampier;7/14/1974;Jackson;USA
dampilo01;Louie;Dampier;11/20/1944;Indianapolis;USA
daniean01;Antonio;Daniels;3/19/1975;Columbus;USA
danieer01;Erik;Daniels;4/1/1982;Cincinnati;USA
daniell01;Lloyd;Daniels;9/4/1967;Brooklyn;USA
daniema01;Marquis;Daniels;1/7/1981;Orlando;USA
dardeol01;Oliver;Darden;7/28/1944;Aberdeen;USA
dareyi01;Yinka;Dare;10/10/1972;Kano;NGR
darkje01;Jesse;Dark;9/2/1951;Richmond;USA
davidko01;Kornel;David;10/22/1971;Nagykanizsa;HUN
davisan01;Antonio;Davis;10/31/1968;Oakland;USA
davisau01;Aubrey;Davis;3/28/1921;;
davisba01;Baron;Davis;4/13/1979;Los Angeles;USA
davisbe01;Ben;Davis;12/26/1972;Vero Beach;USA
davisbr02;Brian;Davis;6/21/1970;Atlantic City;USA
davisch02;Charles;Davis;10/5/1958;Nashville;USA
davisdw01;Dwight;Davis;10/28/1949;Houston;USA
davisem01;Emanual;Davis;8/27/1968;Philadelphia;USA
davisha01;Harry;Davis;1/27/1956;Cleveland;USA
davishu01;Hubert;Davis;5/17/1970;Winston-Salem;USA
davisjo01;Johnny;Davis;10/21/1955;Detroit;USA
davisjo02;Josh;Davis;8/10/1980;Salem;USA
davisle01;Lee;Davis;10/11/1945;Raleigh;USA
davisma01;Mark;Davis;6/8/1963;Chesapeake;USA
davisma02;Mark;Davis;4/26/1973;Thibodaux;USA
davispa01;Paul;Davis;7/21/1984;Detroit;USA
davisra01;Ralph;Davis;9/7/1938;Vanceburg;USA
daviste01;Terry;Davis;6/17/1967;Danville;USA
daviswa02;Warren;Davis;6/30/1943;Atlantic City;USA
daviswa03;Walter;Davis;9/9/1954;Pineville;USA
daviswi01;Willie;Davis;8/9/1945;Fairfield;USA
dawkida01;Darryl;Dawkins;1/11/1957;Orlando;USA
dawkijo01;Johnny;Dawkins;9/28/1963;Washington;USA
dawkipa01;Paul;Dawkins;6/10/1957;Saginaw;USA
dawsoja01;James;Dawson;4/18/1945;Oak Park;USA
dawsoto01;Tony;Dawson;8/25/1967;Kinston;USA
dayeda01;Darren;Daye;11/30/1960;Des Moines;USA
dayto01;Todd;Day;1/7/1970;Decatur;USA
deanegr01;Greg;Deane;12/6/1957;Tulare;USA
declean01;Andrew;DeClercq;2/1/1973;Detroit;USA
deesar01;Archie;Dees;2/22/1936;Ethel;USA
delebi01;Bison;Dele;4/6/1969;Fresno;USA
delfica01;Carlos;Delfino;8/29/1982;Santa Fe;ARG
delkto01;Tony;Delk;1/28/1974;Covington;USA
dembofe01;Fennis;Dembo;1/24/1966;Mobile;USA
dempsde01;Dell;Demps;2/12/1970;Long Beach;USA
dempsge01;George;Dempsey;7/19/1929;Philadelphia;USA
denglu01;Luol;Deng;4/16/1985;Wow;SUD
dennibl01;Blaine;Denning;9/19/1930;Fulton;USA
dentmju01;Justin;Dentmon;9/5/1985;Carbondale;USA
deprejo01;Joe;DePre;12/19/1947;Westbury;USA
dialde01;Derrick;Dial;12/20/1975;Detroit;USA
diawaya01;Yakhouba;Diawara;8/29/1982;Paris;FRA
dickecl01;Clyde;Dickey;12/14/1951;Fort Wayne;USA
dickede01;Derrek;Dickey;3/20/1951;Cincinnati;USA
dickehe01;Henry;Dickerson;11/27/1951;Beckley;USA
dickeka01;Kaniel;Dickens;7/21/1978;Denver;USA
dickemi01;Michael;Dickerson;6/25/1975;Greenville;USA
dicksjo01;John;Dickson;11/18/1945;Searcy;USA
dienetr01;Travis;Diener;3/1/1982;Fond du Lac;USA
dietrco01;Coby;Dietrick;7/23/1948;Riverside;USA
dillami01;Mickey;Dillard;10/15/1958;Hollywood;USA
dillcr01;Craig;Dill;12/17/1944;;
dinkiby01;Byron;Dinkins;6/15/1967;Charlotte;USA
dinkija01;Jackie;Dinkins;1/22/1950;;
dischte01;Terry;Dischinger;11/21/1940;Terre Haute;USA
divacvl01;Vlade;Divac;2/3/1968;Prijepolje;YUG
dixonju01;Juan;Dixon;10/9/1978;Baltimore;USA
djordal01;Aleksandar;Djordjevic;8/26/1967;Belgrade;YUG
doleami01;Michael;Doleac;6/15/1977;San Antonio;USA
donalja01;James;Donaldson;8/16/1957;Heacham;ENG
doolike01;Keyon;Dooling;5/8/1980;Fort Lauderdale;USA
dorseja01;Jacky;Dorsey;12/18/1954;Atlanta;USA
doubyqu01;Quincy;Douby;5/16/1984;Brooklyn;USA
douglbr01;Bruce;Douglas;4/9/1964;Quincy;USA
dougljo01;John;Douglas;6/12/1956;Town Creek;USA
douglle01;Leon;Douglas;8/26/1954;Leighton;USA
douglsh01;Sherman;Douglas;9/15/1966;Washington;USA
doverje01;Jerry;Dover;10/16/1949;;
dowdeza01;Zabian;Dowdell;9/10/1984;Pahokee;USA
downist01;Steve;Downing;9/9/1950;Indianapolis;USA
doziete01;Terry;Dozier;6/29/1966;Baltimore;USA
drewbr01;Bryce;Drew;9/21/1974;Baton Rouge;USA
drewjo01;John;Drew;9/30/1954;Vredenburgh;USA
drewla01;Larry;Drew;4/2/1958;Kansas City;USA
drexlcl01;Clyde;Drexler;6/22/1962;New Orleans;USA
drobnpr01;Predrag;Drobnjak;10/27/1975;Bijelo Polje;YUG
drollra01;Ralph;Drollinger;4/20/1954;La Mesa;USA
